title,author,ISBN,ISBN13,rating,avg_rating,publisher,binding,number_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshleves_with_position,exclusive_shelf,my_review,open_library_url_info_ISBN,open_library_url_info_ISBN13,notes,recommendation_from
Bons pour l'asile (Les vieux fourneaux #5),Wilfrid Lupano,,9782505071419.0,4.0,4.45,Dargaud,Hardcover,56,2018.0,,2019/01/02,2019/01/02,,,read,,,,,
Monk!: Thelonious, Pannonica,1626724342,9781626724341.0,5.0,4.06,First Second,Hardcover,352,2018.0,,2018/12/30,2018/12/30,,,,,,,,
Trashed,Derf Backderf,1419714546,9781419714542.0,4.0,3.78,Harry N. Abrams,Paperback,256,2015.0,2015.0,2018/12/25,2018/12/25,,,read,,https://openlibrary.org/books/OL27195566M/Trashed,https://openlibrary.org/books/OL27195566M/Trashed,,
Mamie Luger,Benoit Philippon,,,5.0,4.27,Les Arènes,Kindle Edition,450,2018.0,,2018/12/22,2018/12/20,,,read,,,,,
Black Hole,Charles Burns,037542380X,9780375423802.0,4.0,3.84,Pantheon,Hardcover,368,2005.0,1995.0,2018/12/15,2018/10/15,,,read,,https://openlibrary.org/books/OL23240554M/Black_hole,https://openlibrary.org/books/OL23240554M/Black_hole,,
Les grands espaces,Catherine Meurisse,,,4.0,4.19,Dargaud,Kindle Edition,92,2018.0,2018.0,2018/12/05,2018/12/06,,,read,,,,,
Wake up America 1963-1965 (Wake up America,John Lewis,,9782369810452.0,4.0,4.64,Rue de Sèvres,Hardcover,256,2017.0,2016.0,2018/11/25,2018/11/24,,,read,,,,,
Wake up America 1960-1963 (Wake up America #2),John Lewis,2369810386,9782369810384.0,5.0,4.51,Rue de Sèvres,Hardcover,192,2015.0,2015.0,2018/11/18,2018/11/18,,,read,,,,,
Wake Up America 1940-1960,John Lewis,2369810408,9782369810407.0,4.0,4.33,Rue de Sèvres,Hardcover,127,2014.0,2013.0,2018/11/02,2018/11/02,,,read,,,,,
L'origine du Monde (Le Roi des Mouches #2),Mezzo,2356260463,9782356260468.0,3.0,3.98,,Paperback,,,2011.0,2018/10/24,2018/10/24,,,read,,,,,
King of the Flies Vol. 1: Hallorave,Mezzo,1606993208,9781606993200.0,3.0,3.72,,Hardcover,64,,2005.0,2018/10/24,2018/10/24,,,read,,https://openlibrary.org/books/OL27132023M/King_of_the_flies,https://openlibrary.org/books/OL27132023M/King_of_the_flies,,
Ailefroide : Altitude 3954,Jean-Marc Rochette,2203121939,9782203121935.0,5.0,4.27,Casterman,Hardcover,296,2018.0,2018.0,2018/10/12,2018/10/15,,,read,,,,,
